dsh-client-locale | (动态NS) | 值未译 | json.label = JSON
dsh-client-locale | (动态NS) | 值未译 | number.thousand = {value}K
dsh-client-locale | (动态NS) | 值未译 | number.million = {value}M
dsh-client-ui-agent-preset | settings.agentPreset | 值未译 | presetIdPlaceholder = my-agent
dsh-client-ui-chat | (动态NS) | 值未译 | stats.llm = LLM {duration}
dsh-client-ui-chat | (动态NS) | 值未译 | stats.tokensPerSecond = {throughput} tok/s
dsh-client-ui-chat | (动态NS) | 值未译 | settings.transcript.normal = Normal
dsh-client-ui-chat | (动态NS) | 值未译 | settings.transcript.compact = Compact
dsh-client-ui-chat | (动态NS) | 值未译 | message.compaction.commandTitle = compact
dsh-client-ui-chat | (动态NS) | 值未译 | message.tokensPerSecond = {tps} tok/s
dsh-client-ui-chat | (动态NS) | 值未译 | message.turnUsage.count = {count} tok
dsh-client-ui-cordis | (动态NS) | 值未译 | panel.trigger = Cordis Plugin
dsh-client-ui-cordis | (动态NS) | 值未译 | panel.runningCount = {count} running
dsh-client-ui-cordis | (动态NS) | 值未译 | body.hostCode = Host
dsh-client-ui-cordis | (动态NS) | 值未译 | body.clientCode = Client
dsh-client-ui-input-trigger | (动态NS) | 值未译 | drill.key = Tab
dsh-client-ui-model-selection | (动态NS) | 值未译 | effort.providerDefault = Default
dsh-client-ui-plan | (动态NS) | 值未译 | chip.label = Plan
dsh-client-ui-settings-models | (动态NS) | 值未译 | customRoute = Provider ID
dsh-client-ui-settings-models | (动态NS) | 值未译 | customBaseUrlPlaceholder = https://gateway.example/v1
dsh-client-ui-settings-plugins | (动态NS) | 值未译 | subagentModelSelectionTitle = Subagent
dsh-client-ui-skill | (动态NS) | 值未译 | row.title = Skill
dsh-client-ui-subagent | (动态NS) | 值未译 | tokens.thousand = {value}K
dsh-client-ui-subagent | (动态NS) | 值未译 | tokens.million = {value}M
dsh-client-ui-subagent | (动态NS) | 值未译 | tokens.total = {value} tok
dsh-client-ui-theme | (动态NS) | 值未译 | fontSize.unit = px
dsh-client-ui-trajectory | (动态NS) | 值未译 | unit.tokens = {value} tok
dsh-client-ui-trajectory | (动态NS) | 值未译 | unit.tokensPerSecond = {value} tok/s
dsh-client-ui-trajectory | (动态NS) | 值未译 | tab.schema = Schema
dsh-client-ui-trajectory | (动态NS) | 值未译 | record.json = JSON
dsh-client-ui-workflow-run | (动态NS) | 值未译 | run.title = {name}
